command,source_path,owner,category,status,effect,mutates,usage_access,summary,usage,examples,notes,risk,related,lead_comments
LOCK,src/cli/cmd_lock.cpp,DOT|LOCK,concurrency,supported,lock,lock-state,LOCK USAGE,"Acquire record or table locks for the current table and inspect lock status
  or lock ownership.","LOCK USAGE
  LOCK
  LOCK <n>
  LOCK ALL
  LOCK TABLE
  LOCK STATUS
  LOCK WHO <n>",,"LOCK requires an open table except for LOCK USAGE.
  LOCK with no arguments locks the current record.
  LOCK <n> locks record n.
  LOCK ALL and LOCK TABLE lock the entire table.
  LOCK STATUS reports table and current-record lock state.
  LOCK WHO <n> reports the owner of record n when a lock is recorded.
  LOCK mutates lock state but does not mutate table data.",,"UNLOCK
  DELETE
  COMMIT",cmd_lock.cpp — owner-aware UI (works with the back-compat shims too)
"LOOP
ENDLOOP",src/cli/cmd_loop.cpp,"DOT|LOOP
DOT|ENDLOOP","script
script","supported
supported","buffer
execute","loop-buffer loop-state
loop-buffer loop-state delegates-command-effects","LOOP USAGE
ENDLOOP USAGE","Start buffering commands for later replay by ENDLOOP, with optional quiet
  mode and numeric repetition labels.

  End the active LOOP block and replay buffered commands through the shell
  executor.","LOOP
  LOOP USAGE
  LOOP QUIET
  LOOP <n>
  LOOP <n> TIMES
  LOOP FOR <n>
  LOOP FOR <n> TIMES
  LOOP FOR <label>
  LOOP OVERRIDE <label>

  ENDLOOP
  ENDLOOP USAGE",,"LOOP with no arguments starts command buffering and replays once at ENDLOOP.
  LOOP <n>, LOOP <n> TIMES, and LOOP FOR <n> replay buffered commands n times.
  LOOP QUIET suppresses buffering and ENDLOOP status messages.
  LOOP FOR <label> stores a nonnumeric label and currently replays once.
  ENDLOOP executes buffered commands through the pluggable shell executor.
  The loop implementation skips buffered ENDLOOP lines during replay.
  Iteration count is clamped to the hard maximum when necessary.
  LOOP mutates script execution state and may indirectly mutate anything its buffered commands mutate.

  ENDLOOP with no arguments executes the active LOOP buffer.
  ENDLOOP requires an active LOOP block except for ENDLOOP USAGE.
  ENDLOOP clears active loop state before replay.
  ENDLOOP replays buffered commands through the registered loop executor.
  ENDLOOP reports when no LOOP is active.
  ENDLOOP may indirectly mutate data, session state, or files depending on buffered commands.",,"ENDLOOP
  WHILE
  ENDWHILE
  UNTIL
  ENDUNTIL

  LOOP
  WHILE
  ENDWHILE
  UNTIL
  ENDUNTIL","purpose: LOOP implementation with numeric repetition (N TIMES)
notes  :
  - LOOP
      buffer + replay once
  - LOOP <n>   | LOOP <n> TIMES
      buffer + replay n times
  - LOOP FOR <n> [TIMES]
      same as above (compat with ""FOR"" phrasing)
  - LOOP FOR <expr>
      currently acts as a label only if not numeric
  - hard default max iterations: 1000
============================================================================"
MAINT,src/cli/cmd_maint.cpp,DOT|MAINT,maintenance,experimental,,none,,"Inspect DotTalk++ maintenance lanes, cookbooks, status, and protected-system boundaries.","MAINT
MAINT USAGE
MAINT STATUS
MAINT LANES
MAINT COOKBOOK
MAINT BOUNDARY
MAINT BBOX",,,,"BBOX
CMDHELP
DDICT
MANUAL
@dottalk.end","cmd_maint.cpp
DotTalk++ native MAINT command
First-wave maintenance/SDLC inspection surface."
MANSTAR,src/cli/cmd_manstar.cpp,,,,,,,,,,,,,"cmd_manstar.cpp
MDO-279R repair: provide the global cmd_MANSTAR symbol expected by shell_commands.cpp."
MANUAL,src/cli/cmd_manual.cpp,DOT|MANUAL,manualgen,experimental,report,none,MANUAL USAGE,Inspect the accepted MAN* manualgen catalog from inside DotTalk++.,"MANUAL
  MANUAL USAGE
  MANUAL STATUS
  MANUAL TABLES
  MANUAL COUNTS
  MANUAL RESOLVE <token>
  MANUAL CATALOG STATUS
  MANUAL CATALOG TABLES
  MANUAL CATALOG COUNTS
  MANUAL CATALOG RESOLVE <token>
  MANUAL SECTIONS
  MANUAL MEDIA
  MANUAL REVIEW",,"MANUAL is read-only.
  MANUAL reports manualgen catalog status, resolver behavior, and accepted MAN* evidence.
  MANUAL does not mutate DBFs, HELP, META, CMDHELPCHK, source files, or publication artifacts.
  MANUAL is intentionally self-contained in src/cli so the existing src/cli glob can pick it up.
  Resolver/reader/formatter support modules are not registered commands.",,"HELP
  DDICT
  MANSECTION",
MCC,src/cli/cmd_mcc.cpp,DOT|MCC,demo,supported,onboarding,path-state workspace-state relation-state work-area-state cursor,MCC USAGE,Load the MCC v32 demo workspace as a one-command starter demo.,"MCC
  MCC USAGE",,"MCC prepares and loads the MCC sample workspace for demonstration.
  MCC runs DotScript x32 to set the v32 DBF and INDEX paths.
  MCC then runs WORKSPACE LOAD mcc.dtschemas.
  Equivalent manual sequence is DOTSCRIPT x32, then WORKSPACE LOAD mcc.dtschemas.
  MCC is a convenience command and does not directly open tables or create relations itself.
  Table/session/relation restoration remains owned by WORKSPACE.
  Environment/path setup remains owned by DotScript.
  DO X32 is a command-surface shortcut for DotScript x32; MCC should be documented as using DotScript.

  - The extension requested here is .dtschemas, matching the current user
    request.  If the checked-in file is singular .dtschema, change the single
    constant below rather than changing the command logic.
  - This file intentionally avoids directly opening DBFs, indexes, relations,
    or memo files.  WORKSPACE remains the owner of live area/session restore.",,"DOTSCRIPT
  WORKSPACE
  REL
  USE

cmd_mcc.cpp

Convenience command for the MCC demo workspace.",
MEMO,src/cli/cmd_memo.cpp,DOT|MEMO,memo,supported,mixed,memo-storage filesystem,MEMO USAGE,"Inspect and maintain x64 memo sidecar/object storage for the current work
  area or all open work areas.","MEMO USAGE
  MEMO STATUS
  MEMO STATUS ALL
  MEMO VERIFY
  MEMO VERIFY ALL
  MEMO GC
  MEMO GC ALL
  MEMO GC CONFIRM
  MEMO GC ALL CONFIRM",,"MEMO with no arguments prints usage.
  STATUS reports memo object/ref statistics.
  VERIFY scans memo references and reports missing/orphaned objects.
  GC without CONFIRM is a dry run.
  GC with CONFIRM may remove orphan memo objects and reclaim storage.
  ALL targets all open work areas; otherwise the current work area is used.",,"CALCWRITE
  REPLACE
  PACK",
MSGMGR,src/cli/cmd_msgmgr.cpp,DOT|MSGMGR,messaging,supported,report|maintenance,yes (SEED PRIORITYA APPLY only),MSGMGR USAGE,"Message Manager command house for runtime messaging and locale-spine
  inspection surfaces.","MSGMGR
  MSGMGR USAGE
  MSGMGR STATUS
  MSGMGR CHECK
  MSGMGR SEED PRIORITYA CHECK
  MSGMGR SEED PRIORITYA APPLY
  MSGMGR SEED PRIORITYB CHECK
  MSGMGR SEED PRIORITYB APPLY
  MSGMGR SEED PRIORITYC CHECK
  MSGMGR SEED PRIORITYC APPLY",,"MSGMGR is the command house for Messaging manager surfaces.
  STATUS and top-level CHECK remain report-only surfaces.
  SEED PRIORITYA CHECK inspects the active runtime Messaging rows.
  SEED PRIORITYA APPLY upserts Priority A runtime Messaging rows into
  SYSTEM_MESSAGES / SYSTEM_MESSAGE_TEXT and rebuilds the matching
  Messaging LMDB backends from existing CDX containers.
  MSGMGR does not mutate HELP DATA, CMDHELPCHK, manualgen, Data Dictionary,
  SelfDoc, or source-derived catalogs.",,"SET MESSAGE CATALOG CHECK
  SET MESSAGE CATALOG GET
  SET LANGUAGE
  SET MESSAGE EMIT
  DDICT",src/cli/cmd_msgmgr.cpp
NEXT,src/cli/cmd_next.cpp,DOT|NEXT,navigation,supported,navigate,cursor,NEXT USAGE,Move the current work-area cursor to the next visible/logical record.,"NEXT
  NEXT USAGE",,"NEXT with no arguments moves to the next visible/logical record.
  NEXT requires an open table except for NEXT USAGE.
  NEXT uses the logical_nav next_recno helper.
  NEXT mutates cursor position but does not mutate table data.
  TALK ON prints the resulting record number when movement succeeds.",,"TOP
  BOTTOM
  FIRST
  LAST
  NEXT
  PRIOR
  SKIP
  GOTO
  GPS","src/cli/cmd_next.cpp
NEXT = next visible record in current logical view
(active order + filter visibility)."
NORMALIZE,src/edu/edu_normalize.cpp,EDU|NORMALIZE,education-normalization,supported,report,none,NORMALIZE USAGE,Demonstrate field-value normalization rules for C/N/D/L field types.,"NORMALIZE USAGE
  NORMALIZE <C|N|D|L> <len> [dec_if_N] <value...>","NORMALIZE C 20 ""  Hello  ""
  NORMALIZE N 10 0 1,234
  NORMALIZE N 10 2 1234.50
  NORMALIZE D 8 11/05/2025
  NORMALIZE L 1 yes","NORMALIZE USAGE prints usage before normalization work.
  This command does not touch the current work area.",,,"src/cli/edu_normalize.cpp
NORMALIZE command ? test harness for value_normalize.hpp + dt::predicate::Value
Usage:
  NORMALIZE <C|N|D|L> <len> [dec_if_N] <value...>
Examples:
  NORMALIZE C 20   ""  Hello  ""
  NORMALIZE N 10 0 1,234
  NORMALIZE N 10 2 1234.50
  NORMALIZE D 8    11/05/2025
  NORMALIZE L 1    yes
This does not touch the current work area; DbArea is accepted only
to match the CLI handler signature."
PACK,src/cli/cmd_pack.cpp,DOT|PACK,destructive-table-structure,supported,compact-table-file,table-file closes-table order-state memo-sidecar index-dirty-state,PACK USAGE,"Physically remove deleted records by rewriting the current DBF; x64 memo
  tables rebuild both DBF and DTX sidecar with remapped memo ids.","PACK USAGE
  PACK",PACK,"PACK USAGE prints usage before open-table checks.
  PACK rewrites the current DBF with only non-deleted records and closes the table on success.
  PACK supports x64 M(8) memo tables by rebuilding DBF and DTX together.
  Legacy memo tables are refused.
  Index containers must be rebuilt/rebound after PACK.",,"TURBOPACK
  ZAP
  RECALL","src/cli/cmd_pack.cpp
PACK — physically removes deleted records by rewriting the DBF to a temp file
        containing only non-deleted records, then atomically replaces the original.
Memo-aware extension:
  - legacy memo tables are still refused
  - x64 M(8) memo tables are packed by rebuilding BOTH the DBF and the DTX sidecar
  - x64 memo object ids are remapped to fresh ids in the new DTX
POLICY (2026):
  - Structural command (file-level operation)
  - Leaves table CLOSED on success
  - User must USE to reopen
  - Indexes must be rebuilt/rebound after"
POLLING,src/cli/cmd_polling.cpp,DOT|POLLING_IMPL,integration-stub,placeholder-shim,none,none,not-registered-here,Placeholder translation unit for future POLLING command/integration work.,"This file currently does not export a command handler.
  If POLLING becomes user-facing, add the runtime command handler and full usage contract together.",,Contract marker documents that this file was inspected and intentionally left behavior-neutral.,,,
PRIOR,src/cli/cmd_prior.cpp,DOT|PRIOR,navigation,supported,navigate,cursor,PRIOR USAGE,Move to the previous visible record in the current logical view.,"PRIOR
  PRIOR USAGE",,"PRIOR with no arguments moves to the previous visible record.
  Active order and filter visibility are honored through logical_nav.
  PRIOR USAGE prints usage before open-table checks or cursor movement.",,"NEXT
  TOP
  BOTTOM","src/cli/cmd_prior.cpp
PRIOR = previous visible record in current logical view
(active order + filter visibility)."
PRN,src/cli/cmd_prn.cpp,DOT|PRN,output,supported,configure,output-router,PRN USAGE,Report or configure the PRN output destination used by the output router.,"PRN
  PRN USAGE
  PRN STATUS
  PRN SHOW
  PRN OFF
  PRN TO CONSOLE
  PRN TO SCREEN
  PRN TO FILE <path>
  PRN TO PRINTER
  PRN TO PRINTER <name>
  PRN TO NULL",,"PRN with no arguments reports current output routing status.
  PRN USAGE prints usage and does not change routing.
  PRN OFF and PRN TO NULL route PRN output to NULL.
  PRN TO FILE opens/truncates or creates the destination as owned by OutputRouter.
  PRN TO PRINTER is staged only; OS handoff is disabled.
  PRN does not mutate table data.",,"ECHO
  SET ALTERNATE
  SET PRINTER",
PROJECTS,src/cli/cmd_projects.cpp,DOT|PROJECTS,project,supported,mixed,project-filesystem,PROJECTS USAGE,"List, create, inspect, tree, or delete project skeleton directories under
  the configured PROJECTS slot.","PROJECTS
  PROJECTS USAGE
  PROJECTS LIST
  PROJECTS CREATE <name> [DATA|FEATURE|HYBRID]
  PROJECTS INFO <name>
  PROJECTS TREE <name>
  PROJECTS DELETE <name> [CONFIRM]","PROJECTS
  PROJECTS CREATE demo DATA
  PROJECTS INFO demo
  PROJECTS TREE demo
  PROJECTS DELETE demo
  PROJECTS DELETE demo CONFIRM","PROJECTS with no arguments lists known projects.
  CREATE writes project skeleton folders and a manifest.
  DELETE is dry-run unless CONFIRM is supplied.
  PROJECTS USAGE prints usage and does not create/delete files.",,"SETPATH
  SHOWINI
  WORKSPACE",
PSHELL,src/cli/cmd_pshell_help.cpp,DOT|PSHELL,reference,supported,report,none,PSHELL USAGE,"Display the PowerShell/PSHELL helper reference and search the curated
  PowerShell one-liner catalog.","PSHELL
  PSHELL USAGE
  PSHELL LIST-CATEGORIES
  PSHELL <category>
  PSHELL <term>","PSHELL
  PSHELL PYTHON
  PSHELL PY-VENV-CREATE
  PSHELL CLEAN","PSHELL with no arguments displays the grouped PSHELL reference.
  PSHELL USAGE prints command usage without searching the catalog.
  PSHELL is read-only and does not execute PowerShell commands.",,"HELP
  SQLHELP
  PS",cmd_pshell_help.cpp
RBROWSE,src/cli/cmd_rbrowse.cpp,DOT|RBROWSE,browser-alias,compatibility-alias,launch-ui,delegated-to-ERSATZ,delegated-to ERSATZ/RBROWSE help surface,Compatibility spelling for the ERSATZ relational browser.,"RBROWSE [ersatz-browser-options]
  RBROWSE USAGE is delegated to the ERSATZ browser command surface when supported.",,"Keep behavior centralized in cmd_ERSATZ so relation browser behavior cannot
  drift between ERSATZ and RBROWSE.
  This file should remain a thin wrapper.",,"ERSATZ
  RELATIONS
  WORKSPACE

src/cli/cmd_rbrowse.cpp

RBROWSE is the compatibility spelling for the ERSATZ relational browser.
Keep the behavior centralized in cmd_ERSATZ so smart root/profile inference,
order-aware navigation, LOAD/SAVE/WLOAD, DELTA, and diagnostics cannot drift
between two command implementations.",
REBUILD,src/cli/cmd_rebuild.cpp,DOT|REBUILD,index,supported,rebuild,cnx-index table-stale-state,REBUILD USAGE,"Rebuild a CNX container for the current table, using the active CNX or a
  supplied CNX name/path and clearing TABLE stale state on success.","REBUILD USAGE
  REBUILD
  REBUILD <name-or-path.cnx>",,"REBUILD with no arguments uses the current CNX or defaults to <table>.cnx.
  REBUILD requires an open table except for REBUILD USAGE.
  REBUILD prompts to COMMIT dirty TABLE buffers before rebuilding.
  REBUILD refuses to continue if the table remains dirty after COMMIT.
  REBUILD opens the CNX tag directory once for reporting.
  The CNX backend rebuilds all tags in the container in one rebuild call.
  On success, TABLE STALE is cleared for the current area when table buffering is enabled.",,"REINDEX
  CNX
  COMMIT
  TABLE","REBUILD [<name-or-path.cnx>]
CNX rebuild (legacy compound index)
Policy:
- Rebuilds the CNX container once
- CNX backend itself rebuilds all tags in the container
- Requires clean TABLE (or explicit COMMIT)
Architecture:
- Public CNX container resolves via INDEXES
- CNX remains a legacy/flat structure (no LMDB backend)
Relationship to REINDEX:
- REINDEX CNX -> calls REBUILD
- This file is the CNX execution engine / orchestrator"
RECALL,src/cli/cmd_recall.cpp,DOT|RECALL,table-mutation,supported,undelete-records,table-data delete-flags index-entries,RECALL USAGE,Clear deleted flags on the current record or selected deleted records.,"RECALL USAGE
  RECALL
  RECALL ALL
  RECALL REST
  RECALL NEXT <n>
  RECALL FOR <expr>","RECALL
  RECALL ALL
  RECALL REST
  RECALL NEXT 10
  RECALL FOR LNAME = ""SMITH""","RECALL USAGE prints usage before open-table checks.
  RECALL with no arguments recalls the current record.
  RECALL target selection is deleted-only.
  RECALL rebuilds index entries for recalled records best-effort.",,"ERASE
  PACK
  ZAP","Incremental indexing behavior:
- Direct-write mode: if a CDX/LMDB backend is active, RECALL rebuilds index
  entries for all field-backed tags on the current record after the delete
  flag is cleared successfully.
- Buffered/table mode: unchanged here; COMMIT remains responsible for rebuild.
Traversal behavior:
- RECALL snapshots target recnos first, then recalls by recno.
- This avoids mutating an active index while simultaneously iterating it.
- RECALL target selection is explicitly deleted-only.
- Deleted-only traversal must use physical records, because active indexes
  normally contain only live records and would otherwise hide deleted rows.
- REST / NEXT preserve physical-scope semantics through the shared selector."
RECNO,src/cli/cmd_recno.cpp,DOT|RECNO,navigation,supported,mixed,cursor,RECNO USAGE,Report the current record number or navigate to an explicit record number.,"RECNO
  RECNO USAGE
  RECNO <n>",,"RECNO with no arguments reports the current record number.
  RECNO <n> navigates to record n and prints the resulting record number.
  RECNO requires an open table except for RECNO USAGE.
  RECNO mutates cursor position only when a numeric record argument is supplied.",,"GOTO
  GPS
  SKIP",src/cli/cmd_recno.cpp
REFRESH,src/cli/cmd_refresh.cpp,DOT|REFRESH,table,supported,refresh,work-area cursor order-state,REFRESH USAGE,Reopen the current table from disk and restore cursor/order state best-effort.,"REFRESH
  REFRESH USAGE",,"REFRESH with no arguments reopens the current DBF file.
  Cursor position is restored best-effort after reopen.
  Active order/container/tag/direction state is restored best-effort.
  REFRESH USAGE prints usage before open-table checks or reopening.",,"USE
  REINDEX
  WORKSPACE",src/cli/cmd_refresh.cpp
REINDEX,src/cli/cmd_reindex.cpp,DOT|REINDEX,index,supported,rebuild,index-files table-stale-state,REINDEX USAGE,"Canonical rebuild dispatcher for INX, CNX, CDX/LMDB, and student index
  families, choosing a default family by table flavor when no family is given.","REINDEX USAGE
  REINDEX
  REINDEX INX
  REINDEX INX <tagfile>
  REINDEX CNX
  REINDEX CNX <name-or-path.cnx>
  REINDEX CDX
  REINDEX CDX YES
  REINDEX CDX AUTO
  REINDEX CDX NOPROMPT
  REINDEX CDX CLEAN
  REINDEX CDX FORCE
  REINDEX CDX QUIET
  REINDEX SIX
  REINDEX SIX <tagfile>
  REINDEX SCX
  REINDEX SCX <tagfile>
  REINDEX ALL
  REINDEX CUSTOM
  REINDEX <tagfile>",,"REINDEX with no arguments chooses the default family by open table flavor.
  v64-like tables default to CDX through BUILDLMDB.
  v32-like tables default to INX.
  With no table open, the fallback default is CDX.
  REINDEX INX rebuilds a legacy single-tag INX file.
  REINDEX CNX delegates to REBUILD.
  REINDEX CDX delegates to BUILDLMDB.
  REINDEX ALL excludes SIX and SCX by design.
  REINDEX CUSTOM runs SIX and SCX student families.
  REINDEX <tagfile> is treated as REINDEX INX <tagfile> for compatibility.
  Dirty TABLE buffers may prompt for COMMIT before supported rebuild paths.",,"REBUILD
  BUILDLMDB
  INDEX
  CDX
  CNX
  COMMIT","- REINDEX CUSTOM-> SIX + SCX
Default policy:
- REINDEX with no args chooses by open table flavor:
    v64-like table -> CDX
    v32-like table -> INX
- If no table is open, fallback default is CDX.
Notes:
- CUSTOM is the command token; the internal enum name avoids ""CUSTOM""
  directly to dodge macro/name collisions on some builds.
- Console output is ASCII-only (CP437-safe).
- REINDEX ALL excludes student families by design.
  Student families are opt-in through REINDEX CUSTOM."
RELATIONS,src/cli/cmd_relations.cpp,DOT|RELATIONS,relation,supported,mixed,relation-graph,RELATIONS USAGE,"Inspect and manage active relation definitions, relation files, and relation
  enumeration helpers.","RELATIONS
  RELATIONS USAGE
  RELATIONS ALL
  SET RELATIONS
  SET RELATIONS USAGE
  SET RELATIONS ADD <parent> <child> ON f1[,f2...] [TO child_f1[,child_f2...]]
  SET RELATIONS CLEAR <parent|ALL>","RELATIONS
  RELATIONS ALL
  SET RELATIONS ADD STUDENTS ENROLL ON SID
  SET RELATIONS CLEAR ALL","RELATIONS USAGE prints usage and does not inspect or mutate relation state.
  SET RELATIONS USAGE prints usage and does not mutate the relation graph.
  SET RELATIONS ADD/CLEAR mutate relation definitions.
  RELATIONS ALL reports a recursive tree rooted at the current parent.",,"RBROWSE
  TUPLE
  WORKSPACE",src/cli/cmd_relations.cpp
REPLACE,src/cli/cmd_replace.cpp,DOT|REPLACE,data,supported,mutate,table-data table-buffer memo stale-state index,REPLACE USAGE,"Replace one field in the current record by field name or field index,
  preserving RHS expression evaluation, type validation, memo conversion,
  and table-buffer semantics.","REPLACE USAGE
  REPLACE <field_index> WITH <value>
  REPLACE <field_name> WITH <value>","REPLACE LNAME WITH ""Smith""
  REPLACE 3 WITH TODAY
  REPLACE NOTES WITH ""updated memo text""","REPLACE requires an open table and a current record.
  REPLACE resolves fields by standard field index/name rules.
  RHS values pass through the expression/RHS evaluator and legacy string/date function handling.
  X64 memo text is converted into stored object-id text before DBF storage.
  Field values are validated and normalized before storage.
  When TABLE buffering is ON, REPLACE records a buffered field change and marks the field stale/dirty.
  When TABLE buffering is OFF, REPLACE writes immediately through DbArea storage.
  COMMIT owns durable application of buffered table changes.
  REPLACE is a table-data mutation command; do not classify it as read-only.",,"REPLACE_MULTI
  TABLE
  COMMIT
  ROLLBACK
  STRUCT
  FIELDS","  REPLACE <field_index> WITH <value>
  REPLACE <field_name>  WITH <value>
Contract (current iteration):
- TABLE ON: writes are buffered into the table buffer change list.
  No OS record locking occurs here; COMMIT owns locking.
- TABLE OFF: REPLACE locks + writes immediately.
- CLI remains responsible for:
    * parsing
    * RHS evaluation
    * x64 memo text -> stored object-id conversion
    * field-level validation of the stored value
    * table-buffer dirty/stale bookkeeping"
REPLACE_MULTI,src/cli/cmd_replace_multi.cpp,DOT|REPLACE_MULTI,data,supported,mutate,table-data memo index stale-state,REPLACE_MULTI USAGE,"Replace multiple fields in the current record with one record lock and
  one physical write, preserving RHS evaluation, validation, memo handling,
  and direct index maintenance.","REPLACE_MULTI USAGE
  REPLACE_MULTI <field> WITH <value>[, <field> WITH <value>]...","REPLACE_MULTI LNAME WITH ""Smith"", FNAME WITH ""John""
  REPLACE_MULTI DOB WITH 20000101, ACTIVE WITH .T.","REPLACE_MULTI requires an open table and a current record.
  REPLACE_MULTI validates all assignments before applying the physical write.
  RHS values are evaluated/dequoted before validation and storage.
  Memo fields are written through the memo backend before storing the memo token.
  REPLACE_MULTI writes directly to the DBF and does not mark the table buffer DIRTY.
  REPLACE_MULTI captures before/after index snapshots and applies direct index maintenance.
  If index maintenance fails, changed fields are marked STALE.
  Buffering/COMMIT/ROLLBACK integration remains deferred for this direct-write command.
  REPLACE_MULTI is a table-data mutation command; do not classify it as read-only.",,"REPLACE
  TABLE
  COMMIT
  ROLLBACK
  STRUCT
  FIELDS","  bool cmd_REPLACE_MULTI(xbase::DbArea& A,
                         const std::vector<FieldUpdate>& updates,
                         std::string* error)
Rule (current direct-write phase):
  - Writes directly to DBF => does NOT mark DIRTY.
  - If a field actually changes, attempt immediate index maintenance through
    IndexManager simple-field tag logic.
  - Only mark field-level STALE if index maintenance fails for that changed field.
Notes:
  - Buffering/COMMIT/ROLLBACK are deferred.
  - Compound/computed tags are deferred.
  - Simple first-pass policy: field-name == tag-name via IndexManager."
RETRO,src/cli/cmd_retro.cpp,DOT|RETRO,display,supported,display,console-output,RETRO USAGE,Display ASCII-safe retro computer/system splash screens.,"RETRO USAGE
  RETRO LIST
  RETRO SHOW <system>
  RETRO <system>
  RETRO HELP",,"RETRO with no arguments prints usage.
  RETRO LIST lists available retro screen identifiers.
  RETRO SHOW <system> and RETRO <system> display a matching screen.
  RETRO writes console output only and does not mutate table data.",,"ABOUT
  TVISION","src/cli/cmd_retro.cpp
RETRO command
Stable ASCII-safe edition.
UTF-8/Unicode rendering can come later as polish.
Usage:
  RETRO LIST
  RETRO SHOW <system>
  RETRO <system>
  RETRO HELP"
ROLLBACK,src/cli/cmd_rollback.cpp,DOT|ROLLBACK,table-buffer,supported,discard-buffered-changes,buffer-state dirty-stale-flags,ROLLBACK USAGE,Discard buffered/uncommitted table changes for the current area or all areas.,"ROLLBACK USAGE
  ROLLBACK
  ROLLBACK ALL","ROLLBACK
  ROLLBACK ALL","ROLLBACK USAGE returns before modifying buffer state.
  ROLLBACK without arguments clears buffered state for the current area.
  ROLLBACK ALL clears buffered state across all areas.",,"COMMIT
  TABLE BUFFER",src/cli/cmd_rollback.cpp
RPG,src/cli/cmd_rpg.cpp,DOT|RPG_IMPL,integration-stub,placeholder-shim,none,none,not-registered-here,Placeholder translation unit for future RPG command/integration work.,"This file currently does not export a command handler.
  If RPG becomes user-facing, add the runtime command handler and full usage contract together.",,Contract marker documents that this file was inspected and intentionally left behavior-neutral.,,,
RULE,src/cli/cmd_rule.cpp,DOT|RULE,validation,supported,report,none,RULE USAGE,"Inspect rule catalog paths, bindings, and field constraints for the current
  work area.","RULE
  RULE USAGE
  RULE STATUS
  RULE SHOW <field|ALL>
  RULE LIST
  RULE PATHS","RULE
  RULE STATUS
  RULE SHOW GPA
  RULE SHOW ALL
  RULE LIST
  RULE PATHS","RULE with no arguments reports rule status.
  RULE USAGE prints usage and does not require an open table.
  RULE is diagnostic/read-only; it does not create, edit, or bind rules.",,"VALIDATE
  WHERE","cmd_rule.cpp
DotTalk++ RULE diagnostics command.
Public surface:
  RULE
  RULE STATUS
  RULE SHOW <field|ALL>
  RULE LIST
  RULE PATHS
Notes:
  - SHOW / STATUS / LIST / PATHS are internal subcommands of RULE.
  - This file is diagnostic/read-only. It does not create, edit, or bind rules.
  - Validation still flows through field_constraints.cpp and rule_catalog.cpp."
SCAN,src/cli/cmd_scan.cpp,DOT|SCAN,script,supported,loop,scan-state cursor delegates-command-effects,SCAN USAGE,Buffer and execute a SCAN...ENDSCAN record loop over the current logical rowset.,"SCAN
  SCAN USAGE
  SCAN FOR <expr>
  ENDSCAN
  ENDSCAN USAGE",,"SCAN with no arguments starts buffering a scan block on the current area.
  SCAN FOR <expr> adds a predicate to the scan loop.
  ENDSCAN executes buffered body lines through the canonical command executor.
  Deleted records and active SET FILTER visibility are honored by the scan gate.
  Active order traversal uses shared order_iterator when available, with physical fallback.
  ENDSCAN restores the user's cursor best-effort after execution.",,"WHILE
  UNTIL
  FOR
  LOOP","  - Active order: use shared order_iterator (INX/CNX/CDX).
  - If ordered traversal fails, fall back to physical order.
Re-entrancy / nesting policy:
  - Only one SCAN block may be buffered at a time.
  - Nested SCAN during ENDSCAN execution is not allowed.
  - Recursive ENDSCAN is not allowed.
  - Buffering lines during ENDSCAN execution is not allowed.
Execution policy:
  - SCAN control verbs inside the SCAN body are ignored.
  - ENDSCAN preserves the user's current cursor position on exit.
  - Buffered body lines replay through the canonical loop executor so
    shell shortcuts (e.g. TUP -> TUPLE) work the same as at the prompt."
SCHEMAS,src/cli/cmd_schemas.cpp,DOT|SCHEMAS,compatibility,deprecated-compat,workspace,workspace-through-routed-command,SCHEMAS USAGE,Deprecated compatibility shim that routes old SCHEMAS commands to WORKSPACE.,"SCHEMAS
  SCHEMAS USAGE
  SCHEMAS OPEN <arg>
  SCHEMAS CLOSE",,"SCHEMAS with no arguments still routes to WORKSPACE list behavior.
  SCHEMAS OPEN <arg> routes to WORKSPACE OPEN <arg>.
  SCHEMAS CLOSE routes to WORKSPACE CLOSE.
  SCHEMAS USAGE prints compatibility guidance and does not route to WORKSPACE.
  WORKSPACE owns live area/session behavior; DDL owns schema/definition work.",,"WORKSPACE
  DDL
  WSREPORT","src/cli/cmd_schemas.cpp
SCHEMAS is now a legacy compatibility command.
Canonical command ownership:
  WORKSPACE / WS : live work-area/session open/close/list/save/load
  DDL            : schema/definition work
  WSREPORT       : workspace diagnostics/reporting
This file intentionally contains only a shim so old DTS scripts keep
working while new scripts move to WORKSPACE."
SCX,src/cli/cmd_scx.cpp,DOT|SCX,index,supported,mixed,scx-index-file,SCX USAGE,"Student/local SCX index-file lab command for creating, tagging, building,
  listing, and inspecting SCX index files.","SCX USAGE
  SCX CREATE <file>
  SCX ADDTAG <file> <name> FIELD <n>
  SCX ADDTAG <file> <name> FIELD <n> DESC
  SCX BUILD <file>
  SCX TAGS <file>
  SCX INFO <file>",,"SCX with no arguments prints usage.
  CREATE writes a new SCX container/file.
  ADDTAG mutates SCX tag metadata.
  BUILD builds SCX contents from the current area.
  TAGS and INFO inspect SCX metadata.
  SCX is separate from the ordinary command-surface CNX/CDX/LMDB abstractions.",,"IDX
  INDEX
  REINDEX",
